event_id,hazard_type,tile_id,width,height,pre_image,post_image,pre_json,post_json,bldg_uid,damage_subtype,damage_class,polygon_wkt_xy_pre,polygon_wkt_xy_post,sam3_confidence,pre_crop,post_crop,mask_M,mask_R,crop_x0,crop_y0,crop_size,cx,cy,polygon_source_used,m_area_px,r_area_px,quality_ok,crop_zero_frac
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,6d3ca267-5d26-4a2f-91bf-14e5c51962d0,,,"POLYGON ((0.0 16.5, 14.0 16.5, 14.0 -0.0, -0.0 0.0, 0.0 16.5))","POLYGON ((0.0 16.5, 14.0 16.5, 14.0 -0.0, -0.0 0.0, 0.0 16.5))",0.6415,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__6d3ca267-5d26-4a2f-91bf-14e5c51962d0.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__6d3ca267-5d26-4a2f-91bf-14e5c51962d0.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__6d3ca267-5d26-4a2f-91bf-14e5c51962d0.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__6d3ca267-5d26-4a2f-91bf-14e5c51962d0.png,0,0,256,7.000,8.250,pre_then_post,255,3291,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,cb642aa6-7bb4-4f8e-b223-d742b81ef805,,,"POLYGON ((253.5 29.75, 278.5 29.75, 278.5 15.0, 296.0 15.0, 296.0 -0.0, 253.5 0.0, 253.5 29.75))","POLYGON ((253.5 29.75, 278.5 29.75, 278.5 15.0, 296.0 15.0, 296.0 -0.0, 253.5 0.0, 253.5 29.75))",0.57,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__cb642aa6-7bb4-4f8e-b223-d742b81ef805.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__cb642aa6-7bb4-4f8e-b223-d742b81ef805.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__cb642aa6-7bb4-4f8e-b223-d742b81ef805.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__cb642aa6-7bb4-4f8e-b223-d742b81ef805.png,144,0,256,271.544,12.951,pre_then_post,1068,8158,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,fc77ca51-6f5d-45a7-af9d-66f98239a258,,,"POLYGON ((275.8999938964844 67.0, 309.5299987792969 67.0, 309.5299987792969 25.0, 302.5 25.0, 302.5 17.700000762939453, 275.8999938964844 17.700000762939453, 275.8999938964844 67.0))","POLYGON ((275.8999938964844 67.0, 309.5299987792969 67.0, 309.5299987792969 25.0, 302.5 25.0, 302.5 17.700000762939453, 275.8999938964844 17.700000762939453, 275.8999938964844 67.0))",0.6941,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__fc77ca51-6f5d-45a7-af9d-66f98239a258.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__fc77ca51-6f5d-45a7-af9d-66f98239a258.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__fc77ca51-6f5d-45a7-af9d-66f98239a258.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__fc77ca51-6f5d-45a7-af9d-66f98239a258.png,164,0,256,292.290,43.021,pre_then_post,1729,12264,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,af6fde37-1115-424b-a689-cc2a4738d5c8,,,"POLYGON ((128.99000549316406 44.689998626708984, 99.81999969482422 46.02000045776367, 101.16000366210938 75.54000091552734, 168.66000366210938 72.47000122070312, 168.08999633789062 59.88999938964844, 192.27000427246094 58.790000915527344, 190.99000549316406 30.75, 182.50999450683594 31.139999389648438, 182.44000244140625 29.75, 172.0800018310547 30.219999313354492, 171.9499969482422 27.40999984741211, 167.0500030517578 27.6299991607666, 166.8699951171875 23.639999389648438, 128.11000061035156 25.399999618530273, 128.99000549316406 44.689998626708984))","POLYGON ((128.99000549316406 44.689998626708984, 99.81999969482422 46.02000045776367, 101.16000366210938 75.54000091552734, 168.66000366210938 72.47000122070312, 168.08999633789062 59.88999938964844, 192.27000427246094 58.790000915527344, 190.99000549316406 30.75, 182.50999450683594 31.139999389648438, 182.44000244140625 29.75, 172.0800018310547 30.219999313354492, 171.9499969482422 27.40999984741211, 167.0500030517578 27.6299991607666, 166.8699951171875 23.639999389648438, 128.11000061035156 25.399999618530273, 128.99000549316406 44.689998626708984))",0.7584,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__af6fde37-1115-424b-a689-cc2a4738d5c8.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__af6fde37-1115-424b-a689-cc2a4738d5c8.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__af6fde37-1115-424b-a689-cc2a4738d5c8.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__af6fde37-1115-424b-a689-cc2a4738d5c8.png,18,0,256,146.458,50.804,pre_then_post,3499,17116,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,ab3fd724-c81a-48fa-8e3e-9eccacaeb312,,,"POLYGON ((529.5599975585938 71.16000366210938, 508.9200134277344 78.66999816894531, 524.47998046875 121.44999694824219, 591.3300170898438 97.13999938964844, 577.219970703125 58.33000183105469, 570.0700073242188 60.93000030517578, 564.3300170898438 45.150001525878906, 560.6799926757812 46.47999954223633, 560.1400146484375 45.0099983215332, 524.72998046875 57.880001068115234, 529.5599975585938 71.16000366210938))","POLYGON ((529.5599975585938 71.16000366210938, 508.9200134277344 78.66999816894531, 524.47998046875 121.44999694824219, 591.3300170898438 97.13999938964844, 577.219970703125 58.33000183105469, 570.0700073242188 60.93000030517578, 564.3300170898438 45.150001525878906, 560.6799926757812 46.47999954223633, 560.1400146484375 45.0099983215332, 524.72998046875 57.880001068115234, 529.5599975585938 71.16000366210938))",0.8218,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__ab3fd724-c81a-48fa-8e3e-9eccacaeb312.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__ab3fd724-c81a-48fa-8e3e-9eccacaeb312.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__ab3fd724-c81a-48fa-8e3e-9eccacaeb312.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__ab3fd724-c81a-48fa-8e3e-9eccacaeb312.png,421,0,256,549.378,83.502,pre_then_post,3898,19079,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,2f6fad77-07cc-47c6-9801-ffc164dc0faf,,,"POLYGON ((322.6499938964844 116.47000122070312, 348.3999938964844 116.47000122070312, 348.3999938964844 91.58999633789062, 322.6499938964844 91.58999633789062, 322.6499938964844 116.47000122070312))","POLYGON ((322.6499938964844 116.47000122070312, 348.3999938964844 116.47000122070312, 348.3999938964844 91.58999633789062, 322.6499938964844 91.58999633789062, 322.6499938964844 116.47000122070312))",0.7338,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__2f6fad77-07cc-47c6-9801-ffc164dc0faf.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__2f6fad77-07cc-47c6-9801-ffc164dc0faf.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__2f6fad77-07cc-47c6-9801-ffc164dc0faf.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__2f6fad77-07cc-47c6-9801-ffc164dc0faf.png,208,0,256,335.525,104.030,pre_then_post,702,12108,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,a3027981-a753-4b12-9ec4-ec9ba6201ac4,,,"POLYGON ((92.9800033569336 108.44000244140625, 107.22000122070312 123.86000061035156, 123.05000305175781 109.23999786376953, 121.08999633789062 107.11000061035156, 117.3499984741211 110.55999755859375, 105.08000183105469 97.2699966430664, 92.9800033569336 108.44000244140625))","POLYGON ((92.9800033569336 108.44000244140625, 107.22000122070312 123.86000061035156, 123.05000305175781 109.23999786376953, 121.08999633789062 107.11000061035156, 117.3499984741211 110.55999755859375, 105.08000183105469 97.2699966430664, 92.9800033569336 108.44000244140625))",0.6492,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__a3027981-a753-4b12-9ec4-ec9ba6201ac4.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__a3027981-a753-4b12-9ec4-ec9ba6201ac4.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__a3027981-a753-4b12-9ec4-ec9ba6201ac4.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__a3027981-a753-4b12-9ec4-ec9ba6201ac4.png,0,0,256,106.723,110.538,pre_then_post,394,11113,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,f0cd87ec-5f5d-42b9-8f1f-e6e44b2c8bed,,,"POLYGON ((794.0 92.0, 794.0 93.0, 792.0 93.0, 792.0 94.0, 791.0 94.0, 791.0 95.0, 789.0 95.0, 789.0 96.0, 787.0 96.0, 787.0 97.0, 784.0 97.0, 784.0 98.0, 781.0 98.0, 781.0 99.0, 780.0 99.0, 780.0 100.0, 778.0 100.0, 778.0 101.0, 777.0 101.0, 777.0 102.0, 776.0 102.0, 776.0 103.0, 775.0 103.0, 775.0 105.0, 774.0 105.0, 774.0 108.0, 773.0 108.0, 773.0 110.0, 772.0 110.0, 772.0 112.0, 771.0 112.0, 771.0 114.0, 770.0 114.0, 770.0 119.0, 771.0 119.0, 771.0 120.0, 774.0 120.0, 774.0 119.0, 778.0 119.0, 778.0 120.0, 780.0 120.0, 780.0 121.0, 781.0 121.0, 781.0 122.0, 783.0 122.0, 783.0 123.0, 785.0 123.0, 785.0 124.0, 787.0 124.0, 787.0 125.0, 789.0 125.0, 789.0 126.0, 791.0 126.0, 791.0 127.0, 792.0 127.0, 792.0 128.0, 797.0 128.0, 797.0 127.0, 798.0 127.0, 798.0 126.0, 800.0 126.0, 800.0 125.0, 802.0 125.0, 802.0 124.0, 806.0 124.0, 806.0 123.0, 808.0 123.0, 808.0 122.0, 809.0 122.0, 809.0 121.0, 810.0 121.0, 810.0 120.0, 811.0 120.0, 811.0 119.0, 812.0 119.0, 812.0 117.0, 813.0 117.0, 813.0 115.0, 814.0 115.0, 814.0 111.0, 813.0 111.0, 813.0 110.0, 812.0 110.0, 812.0 108.0, 811.0 108.0, 811.0 107.0, 810.0 107.0, 810.0 105.0, 809.0 105.0, 809.0 104.0, 808.0 104.0, 808.0 103.0, 807.0 103.0, 807.0 102.0, 806.0 102.0, 806.0 101.0, 805.0 101.0, 805.0 99.0, 804.0 99.0, 804.0 98.0, 803.0 98.0, 803.0 97.0, 802.0 97.0, 802.0 96.0, 801.0 96.0, 801.0 95.0, 800.0 95.0, 800.0 94.0, 799.0 94.0, 799.0 93.0, 798.0 93.0, 798.0 92.0, 794.0 92.0))","POLYGON ((794.0 92.0, 794.0 93.0, 792.0 93.0, 792.0 94.0, 791.0 94.0, 791.0 95.0, 789.0 95.0, 789.0 96.0, 787.0 96.0, 787.0 97.0, 784.0 97.0, 784.0 98.0, 781.0 98.0, 781.0 99.0, 780.0 99.0, 780.0 100.0, 778.0 100.0, 778.0 101.0, 777.0 101.0, 777.0 102.0, 776.0 102.0, 776.0 103.0, 775.0 103.0, 775.0 105.0, 774.0 105.0, 774.0 108.0, 773.0 108.0, 773.0 110.0, 772.0 110.0, 772.0 112.0, 771.0 112.0, 771.0 114.0, 770.0 114.0, 770.0 119.0, 771.0 119.0, 771.0 120.0, 774.0 120.0, 774.0 119.0, 778.0 119.0, 778.0 120.0, 780.0 120.0, 780.0 121.0, 781.0 121.0, 781.0 122.0, 783.0 122.0, 783.0 123.0, 785.0 123.0, 785.0 124.0, 787.0 124.0, 787.0 125.0, 789.0 125.0, 789.0 126.0, 791.0 126.0, 791.0 127.0, 792.0 127.0, 792.0 128.0, 797.0 128.0, 797.0 127.0, 798.0 127.0, 798.0 126.0, 800.0 126.0, 800.0 125.0, 802.0 125.0, 802.0 124.0, 806.0 124.0, 806.0 123.0, 808.0 123.0, 808.0 122.0, 809.0 122.0, 809.0 121.0, 810.0 121.0, 810.0 120.0, 811.0 120.0, 811.0 119.0, 812.0 119.0, 812.0 117.0, 813.0 117.0, 813.0 115.0, 814.0 115.0, 814.0 111.0, 813.0 111.0, 813.0 110.0, 812.0 110.0, 812.0 108.0, 811.0 108.0, 811.0 107.0, 810.0 107.0, 810.0 105.0, 809.0 105.0, 809.0 104.0, 808.0 104.0, 808.0 103.0, 807.0 103.0, 807.0 102.0, 806.0 102.0, 806.0 101.0, 805.0 101.0, 805.0 99.0, 804.0 99.0, 804.0 98.0, 803.0 98.0, 803.0 97.0, 802.0 97.0, 802.0 96.0, 801.0 96.0, 801.0 95.0, 800.0 95.0, 800.0 94.0, 799.0 94.0, 799.0 93.0, 798.0 93.0, 798.0 92.0, 794.0 92.0))",0.8122,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__f0cd87ec-5f5d-42b9-8f1f-e6e44b2c8bed.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__f0cd87ec-5f5d-42b9-8f1f-e6e44b2c8bed.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__f0cd87ec-5f5d-42b9-8f1f-e6e44b2c8bed.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__f0cd87ec-5f5d-42b9-8f1f-e6e44b2c8bed.png,665,0,256,792.618,110.819,pre_then_post,1098,13126,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,e38b74d0-54d2-403a-83ec-739ccb6bf193,,,"POLYGON ((1056.1700439453125 81.33000183105469, 1070.93994140625 145.3300018310547, 1145.1700439453125 128.1999969482422, 1140.56005859375 108.22000122070312, 1145.0899658203125 107.16999816894531, 1136.8299560546875 71.37999725341797, 1127.449951171875 73.55000305175781, 1125.550048828125 65.31999969482422, 1056.1700439453125 81.33000183105469))","POLYGON ((1056.1700439453125 81.33000183105469, 1070.93994140625 145.3300018310547, 1145.1700439453125 128.1999969482422, 1140.56005859375 108.22000122070312, 1145.0899658203125 107.16999816894531, 1136.8299560546875 71.37999725341797, 1127.449951171875 73.55000305175781, 1125.550048828125 65.31999969482422, 1056.1700439453125 81.33000183105469))",0.6413,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__e38b74d0-54d2-403a-83ec-739ccb6bf193.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__e38b74d0-54d2-403a-83ec-739ccb6bf193.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__e38b74d0-54d2-403a-83ec-739ccb6bf193.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__e38b74d0-54d2-403a-83ec-739ccb6bf193.png,974,0,256,1101.704,104.561,pre_then_post,5216,20866,true,0.0
,unknown,cell_00507_pre,1966,1966,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_pre_disaster.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/pair_inputs/cell_00507_pre_post_disaster.png,,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/stage1/predictions/cell_00507_pre_pre_disaster_prediction.json,a0de7e10-a644-4f3e-9c37-fa0c3b09cfd7,,,"POLYGON ((375.25 143.4499969482422, 398.3699951171875 143.4499969482422, 398.3699951171875 99.27999877929688, 375.25 99.27999877929688, 375.25 143.4499969482422))","POLYGON ((375.25 143.4499969482422, 398.3699951171875 143.4499969482422, 398.3699951171875 99.27999877929688, 375.25 99.27999877929688, 375.25 143.4499969482422))",0.6513,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/crops_pre/cell_00507_pre__a0de7e10-a644-4f3e-9c37-fa0c3b09cfd7.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/dates/20250110/post_crops/cell_00507_pre__a0de7e10-a644-4f3e-9c37-fa0c3b09cfd7.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_M/cell_00507_pre__a0de7e10-a644-4f3e-9c37-fa0c3b09cfd7.png,/media/data/building_instance_tamu/la_fire_2025/stage2_damage/multidate_full_run/cell_00507/shared_base/masks_R/cell_00507_pre__a0de7e10-a644-4f3e-9c37-fa0c3b09cfd7.png,259,0,256,386.810,121.365,pre_then_post,1080,13644,true,0.0
