cell_id,bldg_uid,m2b_damage_class,m2b_damage_label,n_dates_total,n_dates_valid_coverage,label_entropy,is_unstable,sam3_confidence,stage2a_type,stage2a_population,centroid_lon,centroid_lat
cell_00495,00294791-ce0d-4c70-b518-211c2bfc1bbc,0,no_damage,4,4,-0.0,False,0.6955,,,-118.060416,34.1702279
cell_00495,002c476d-4bee-47aa-8c98-77e0a1199e3b,1,minor,4,4,0.5,True,0.8503,,,-118.061444,34.170723
cell_00495,003b5b03-58dc-4a25-a324-423baff3d6c6,1,minor,4,4,0.5,True,0.761,,,-118.0625456,34.1705678
cell_00495,0087dfb1-8908-464c-a56c-c673614285d8,0,no_damage,4,4,-0.0,False,0.6854,,,-118.0570753,34.1704216
cell_00495,00bdab5d-0433-4ce2-bbab-8a26275f02e0,1,minor,4,4,0.4056,True,0.7021,,,-118.0594363,34.1714805
cell_00495,00dd35e2-e103-4591-9926-1caaf6600cd5,0,no_damage,4,4,0.4056,True,0.7416,,,-118.0587372,34.1693991
cell_00495,00ff4897-341d-460f-b77c-81a17cbc304c,0,no_damage,4,4,0.4056,True,0.8036,,,-118.0620281,34.1700689
cell_00495,011cce91-77fa-4522-913c-a0408f930630,1,minor,4,4,0.5,True,0.7439,,,-118.059978,34.1720919
cell_00495,01940bcf-9df7-4147-997c-277f71065e92,1,minor,4,4,0.4056,True,0.756,,,-118.0583245,34.1677926
cell_00495,0222c862-9d45-400c-835c-f203629aff12,2,major,4,4,0.5,True,0.7279,,,-118.0593874,34.1695822
cell_00495,04754929-6179-4f10-ae5c-fbae1d0ee0c8,1,minor,4,4,0.5,True,0.734,,,-118.0601409,34.1695339
cell_00495,04e58e81-ec11-48e9-9bbe-bb819e74d93f,1,minor,4,4,0.5,True,0.8306,,,-118.061961,34.1694795
cell_00495,0503c8f4-a3e7-4f63-af2d-ca42d5ba874b,1,minor,4,4,0.5,True,0.8202,,,-118.0585875,34.1696159
cell_00495,051fc686-7e03-434a-b2bf-9a317f911fd9,0,no_damage,4,4,-0.0,False,0.7734,,,-118.059078,34.168165
cell_00495,056c56f2-e904-41da-8965-2f91f21bd61e,0,no_damage,4,4,0.4056,True,0.8197,,,-118.0620095,34.1699159
cell_00495,0626c5f0-4347-4473-98d2-2a3cbe7f2c27,1,minor,4,4,0.5,True,0.7111,,,-118.0577876,34.1676289
cell_00495,062902c4-0b88-482c-94b6-880e78ca2c3d,0,no_damage,4,4,0.4056,True,0.6214,,,-118.0585873,34.1709106
cell_00495,06d013c8-527e-489b-803b-238151c749b7,1,minor,4,4,0.5,True,0.7336,,,-118.0576666,34.1674417
cell_00495,07a2b2d0-5912-4fc0-a1ac-d74ea1e17453,1,minor,4,4,0.4056,True,0.852,,,-118.0574688,34.1704461
cell_00495,08638c59-67a0-4409-a86b-d02a3d1f1fca,0,no_damage,4,4,-0.0,False,0.7072,,,-118.0628157,34.1699573
cell_00495,08e58ece-7991-468b-9181-8d7a87612e4f,1,minor,4,4,0.5,True,0.6952,,,-118.0591234,34.1673209
cell_00495,09640817-b408-4054-b8f8-0d5394aa705d,0,no_damage,4,4,0.4056,True,0.7522,,,-118.0620027,34.1705639
cell_00495,09b9622d-bcd6-4b1a-836d-22f536a6ccb2,0,no_damage,4,4,0.4056,True,0.6984,,,-118.0584976,34.1677155
cell_00495,0a8d2b81-ad1f-412d-ae58-0b818bc28aff,1,minor,4,4,-0.0,False,0.6952,,,-118.0589002,34.1677034
cell_00495,0b71e7c4-f645-4370-b78a-a2d2d729406c,1,minor,4,4,-0.0,False,0.6914,,,-118.059961,34.1711662
cell_00495,0cbf2900-6cec-4bf4-8af8-07b60e821d0e,0,no_damage,4,4,0.4056,True,0.6698,,,-118.0628369,34.1706975
cell_00495,0e2ea519-ebdb-4d99-90b0-3ecf8f639413,0,no_damage,4,4,0.4056,True,0.7416,,,-118.0624048,34.1684594
cell_00495,0e375bf4-9238-4a22-8272-17181d7154e9,1,minor,4,4,0.5,True,0.8045,,,-118.0614406,34.1706049
cell_00495,0ebca7bd-2a93-4bd4-b3cc-075b5556c52c,1,minor,4,4,0.5,True,0.7324,,,-118.0618005,34.1696246
cell_00495,0f3fb902-5d19-4d00-908e-5f4d38d844c5,0,no_damage,4,4,0.4056,True,0.7165,,,-118.0628571,34.1707717
cell_00495,10016eb4-32fa-4758-8272-2475f706c738,0,no_damage,4,4,0.4056,True,0.7529,,,-118.0617372,34.1701688
cell_00495,103d107a-6bae-4d29-8cd3-64d9a401f2cf,0,no_damage,4,4,-0.0,False,0.9144,,,-118.0573013,34.1708917
cell_00495,129eac50-a8b3-4fe6-a100-9ed31bd655de,0,no_damage,4,4,-0.0,False,0.7416,,,-118.059549,34.1674517
cell_00495,131ee2c3-85e0-4fe3-a96e-a6db44ac37cb,1,minor,4,4,0.5,True,0.7141,,,-118.0618822,34.1681873
cell_00495,141022ee-8447-4ac3-991c-f427c4ca035f,1,minor,4,4,0.5,True,0.7127,,,-118.0577322,34.1677107
cell_00495,15d5170c-7e55-4e85-8f1a-9542c1ef2b1f,1,minor,4,4,0.5,True,0.756,,,-118.0613275,34.1683221
cell_00495,15f4985e-8628-45c1-b712-acf8a6e73bf0,1,minor,4,4,0.4056,True,0.6362,,,-118.0619323,34.1684097
cell_00495,1619e255-ba1d-4500-acf0-a2f226cd87d8,1,minor,4,4,-0.0,False,0.7755,,,-118.061535,34.1696652
cell_00495,16478751-6118-4646-a901-130958a6bdbf,0,no_damage,4,4,0.4056,True,0.8402,,,-118.0629977,34.1696654
cell_00495,166b1cdc-3ede-496c-8867-7e0214cd4a4e,1,minor,4,4,0.5,True,0.7346,,,-118.0618395,34.1691414
cell_00495,16cb2bb9-64bc-464f-bb27-c35125f38a3c,0,no_damage,4,4,0.4056,True,0.7439,,,-118.0593743,34.1674806
cell_00495,16dcd386-5568-4bb5-aff6-31298b9cf106,0,no_damage,4,4,0.4056,True,0.7201,,,-118.061361,34.1683944
cell_00495,16efbec5-df0d-4b15-a93e-dbcb76681aea,0,no_damage,4,4,0.4056,True,0.7816,,,-118.0620088,34.1677031
cell_00495,16f31760-62f5-477a-ae6b-2be35a76c185,1,minor,4,4,-0.0,False,0.7611,,,-118.0629232,34.1690366
cell_00495,18af70d3-e3ed-46f8-ac40-dd7a038d05e4,0,no_damage,4,4,0.4056,True,0.6832,,,-118.0568571,34.1721417
cell_00495,19883632-2fb5-4db7-a42c-7a37a3147051,1,minor,4,4,-0.0,False,0.8075,,,-118.0614545,34.1691405
cell_00495,199bca87-268c-4cd3-ba93-c51912362f8d,0,no_damage,4,4,0.4056,True,0.8933,,,-118.0577089,34.1708635
cell_00495,1b2a60c9-ea28-461d-b976-29dbcc6b9bc2,1,minor,4,4,0.5,True,0.7413,,,-118.0576756,34.1687881
cell_00495,1be8b72a-ac74-4f10-b999-60775c30a055,0,no_damage,4,4,0.4056,True,0.7061,,,-118.0569725,34.1674615
cell_00495,1c2b7195-06a3-4d16-85b5-8ace23359d8d,1,minor,4,4,0.4056,True,0.7711,,,-118.0603867,34.1706131
cell_00495,1dc41d60-a880-423e-b5e3-8e0a0c3caa2d,1,minor,4,4,-0.0,False,0.7477,,,-118.0594042,34.1713072
cell_00495,1dc846ee-68a6-4f02-884a-bf1943c5f1a6,1,minor,4,4,0.4056,True,0.666,,,-118.0598704,34.1711226
cell_00495,1df349ac-a32e-44d9-ad32-ddd11d5a49d8,0,no_damage,4,4,0.4056,True,0.7577,,,-118.0601667,34.167335
cell_00495,1ef09f4f-df2c-4b58-9c72-108ae7989fa5,1,minor,4,4,-0.0,False,0.7648,,,-118.0588926,34.1680405
cell_00495,1f30d2bb-165a-467c-b85b-82131cdac940,0,no_damage,4,4,0.4056,True,0.7695,,,-118.0606992,34.1673408
cell_00495,20412385-a434-4abb-bd05-8aecefefb1dd,1,minor,4,4,0.5,True,0.73,,,-118.0602943,34.171377
cell_00495,209aab09-d020-4825-9110-3ad15729633f,0,no_damage,4,4,0.4056,True,0.7509,,,-118.0583461,34.1673809
cell_00495,214f2837-8515-48f5-8a7a-94a4c2fdbdc1,1,minor,4,4,0.4056,True,0.7141,,,-118.0575603,34.1675507
