estimated_population,building_type,quality_flag,estimated_units,footprint_area_sqft,GEOID,STAT_LAND_,people_per_unit_ratio,estimation_notes
2.0,single_family_detached,ok,1,343.16954909618056,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,434.54944858262127,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,106.14754613813396,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,65.39926313914944,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,266.88091897411164,482012516001,A1,5.983539094650205,none
2.0,single_family_detached,ok,1,407.685597020355,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,179.37925587682776,482012516001,A1,5.983539094650205,none
2.0,single_family_detached,ok,1,245.79057120191956,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,251.83171483114248,482012516001,A1,5.983539094650205,none
4.9,mobile_home,ok,1,144.49289345719842,482012516001,A2,5.983539094650205,none
4.9,single_family_detached,ok,1,200.90803396780416,482012516001,A1,5.983539094650205,none
4.9,mobile_home,ok,1,307.48543191082314,482012516001,A2,5.983539094650205,none
4.9,single_family_detached,ok,1,152.9723243861762,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,174.66455203891,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,155.28112705478964,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,237.91751799360947,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,157.44947473306314,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,196.6275429724143,482012516001,A1,5.983539094650205,none
2.0,single_family_detached,ok,1,99.33222165262254,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,365.860561138755,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,184.72623586974044,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,125.20230928930593,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,73.90152384669798,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,248.09900549222237,482012516001,A1,5.983539094650205,none
2.0,single_family_detached,ok,1,362.9331518877771,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,248.8597133529241,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,171.74218631780096,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,105.1872702695106,482012516001,A1,5.983539094650205,none
2.0,single_family_detached,ok,1,467.38839639501487,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,224.21892757164358,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,233.35755873581235,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,96.10560023723639,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,115.52253041813387,482012516003,A1,2.8,none
2.3,single_family_detached,ok,1,56.75422536993476,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,298.7710915740803,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,361.5921373752671,482012516002,A1,3.1485642946317105,none
4.9,mobile_home,ok,1,171.49347296370192,482012516001,A2,5.983539094650205,none
2.6,single_family_detached,ok,1,369.050409527775,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,405.9246420202849,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,45.4924948309341,482012516002,A1,3.1485642946317105,none
4.9,single_family_detached,ok,1,671.9114283368613,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,210.37365216186123,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,86.89023198972046,482012516002,A1,3.1485642946317105,none
4.9,single_family_detached,ok,1,118.7455797618527,482012516001,A1,5.983539094650205,none
2.3,single_family_detached,ok,1,182.682016574937,482012516003,A1,2.8,none
4.9,single_family_detached,ok,1,141.1355213084841,482012516001,A1,5.983539094650205,none
4.1,duplex,ok,2,72.82965840161532,482012516001,B2,2.5,none
2.6,single_family_detached,ok,1,190.17930008961912,482012516002,A1,3.1485642946317105,none
4.9,single_family_detached,ok,1,161.80935403087707,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,294.7790032937616,482012516002,A1,3.1485642946317105,none
4.9,single_family_detached,ok,1,204.40968514431944,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,432.0292188640418,482012516002,A1,3.1485642946317105,none
4.9,mobile_home,ok,1,157.16414798470913,482012516001,A2,5.983539094650205,none
4.9,single_family_detached,ok,1,729.838372041255,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,150.6791230421258,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,234.19886907994413,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,299.31071573808157,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,184.43455947499683,482012516003,A2,2.8,none
4.9,single_family_detached,ok,1,118.44050207029912,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,203.47700127371363,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,492.361088331069,482012516002,A1,3.1485642946317105,none
4.9,single_family_detached,ok,1,233.51206216686933,482012516001,A1,5.983539094650205,none
